GENERATION_DISTRIBUTION
Note!!! Please add ' at the beginning of generator ID as a special indicator of text type.
Unit Name,Unit ID, Type, Element Name, Ratio
Cherokee CC1a,'G6,BUS,70146,0.6729583
Cherokee CC1b,'G5,BUS,70145,0.2832443
Cherokee CC1b,'ST,BUS,70147,0.7167557
Cheyenne Prairie 1CC,'S1,BUS,74061,0.2137519
Cheyenne Prairie 1CC,'G1,BUS,74061,0.3931241
Cheyenne Prairie 1CC,'G2,BUS,74061,0.3931241
Chickwat_1,'1,BUS,80536,0.5
Chickwat_1,'2,BUS,80536,0.5
Chief Joseph,'2,BUS,44141,0.0344
Chief Joseph,'1,BUS,44141,0.0344
Chief Joseph,'4,BUS,44142,0.0344
Chief Joseph,'3,BUS,44142,0.0344
Chief Joseph,'5,BUS,44143,0.0344
Chief Joseph,'6,BUS,44143,0.0344
Chief Joseph,'8,BUS,44144,0.0344
Chief Joseph,'7,BUS,44144,0.0344
Chief Joseph,'9,BUS,44145,0.0344
Chief Joseph,'10,BUS,44145,0.0344
Chief Joseph,'12,BUS,44146,0.0344
Chief Joseph,'11,BUS,44146,0.0344
Chief Joseph,'13,BUS,44147,0.0344
Chief Joseph,'14,BUS,44147,0.0344
Chief Joseph,'16,BUS,44148,0.0344
Chief Joseph,'15,BUS,44148,0.0344
Chief Joseph,'18,BUS,44149,0.043
Chief Joseph,'17,BUS,44149,0.043
Chief Joseph,'19,BUS,44150,0.0391
Chief Joseph,'20,BUS,44150,0.043
Chief Joseph,'22,BUS,44151,0.0391
Chief Joseph,'21,BUS,44151,0.0391
Chief Joseph,'23,BUS,44152,0.0391
Chief Joseph,'24,BUS,44152,0.043
Chief Joseph,'25,BUS,44153,0.043
Chief Joseph,'27,BUS,44154,0.0391
Chief Joseph,'26,BUS,44154,0.0391
Chuckwalla,'1,BUS,180945,0.5
Chuckwalla,'2,BUS,180950,0.5
Clark CC1a,'5,BUS,18255,0.6629788
Clark CC1a,'9,BUS,18259,0.3370211
Clark CC1b,'6,BUS,18256,0.6529114
Clark CC1b,'9,BUS,18259,0.3470886
Clark CC2a,'7,BUS,18257,0.6529114
Clark CC2a,'10,BUS,18260,0.3470886
Clark CC2b,'8,BUS,18258,0.6629788
Clark CC2b,'10,BUS,18260,0.3370211
Clearwater Wind,'1,BUS,623521,0.21067
Clearwater Wind,'1,BUS,623522,0.02348
Clearwater Wind,'1,BUS,623523,0.22949
Clearwater Wind,'1,BUS,623524,0.02695
Clearwater Wind,'1,BUS,623525,0.22949
Clearwater Wind,'1,BUS,623526,0.02695
Clearwater Wind,'1,BUS,623527,0.22949
Clearwater Wind,'1,BUS,623528,0.02348
ClearwaterCC-Total,'G1,BUS,29338,0.738462
ClearwaterCC-Total,'S1,BUS,29340,0.261539
Cline Corners,'1,BUS,10889,0.5219
Cline Corners,'1,BUS,10892,0.0355
Cline Corners,'1,BUS,10894,0.0426
Cline Corners,'1,BUS,10895,0.400062
Colusa CC1a,'1,BUS,31923,0.505206
Colusa CC1a,'3,BUS,31925,0.494794
Colusa CC1b,'2,BUS,31924,0.505206
Colusa CC1b,'3,BUS,31925,0.494794
CoolwaterCC3-Total,'R3,BUS,24718,0.275934
CoolwaterCC3-Total,'R3,BUS,24719,0.448133
CoolwaterCC3-Total,'R3,BUS,24734,0.275934
CoolwaterCC4-Total,'R4,BUS,24720,0.275934
CoolwaterCC4-Total,'R4,BUS,24721,0.448133
CoolwaterCC4-Total,'R4,BUS,24735,0.275934
Coram Brodie Wind Project,'EQ,BUS,24695,0.205882
Coram Brodie Wind Project,'EQ,BUS,24696,0.205882
Coram Brodie Wind Project,'EQ,BUS,24697,0.176471
Coram Brodie Wind Project,'EQ,BUS,24698,0.176471
Coram Brodie Wind Project,'EQ,BUS,24699,0.235294
Coronal Lost Hills,'1,BUS,34967,0.5
Coronal Lost Hills,'2,BUS,34969,0.5
Cosmo 1-2,'S1,BUS,40277,0.431655
Cosmo 1-2,'C1,BUS,40277,0.568345
Cosumnes CC1a,'1,BUS,37321,0.6687898
Cosumnes CC1a,'1,BUS,37323,0.3312102
Cosumnes CC1b,'1,BUS,37322,0.6634304
Cosumnes CC1b,'1,BUS,37323,0.3365696
CouleePump1-2,'1,BUS,40282,0.490099
CouleePump1-2,'2,BUS,40282,0.509901
CouleePump3-4,'3,BUS,40284,0.490099
CouleePump3-4,'4,BUS,40284,0.509901
CouleePump5-6,'6,BUS,40286,0.5
CouleePump5-6,'5,BUS,40286,0.5
CoyoteSprgCC1-Total,'1,BUS,43111,0.6913425
CoyoteSprgCC1-Total,'1,BUS,43119,0.3086575
CoyoteSprgCC2-Total,'1,BUS,48516,0.6395907
CoyoteSprgCC2-Total,'1,BUS,48518,0.3604093
Crosscut,'X3,BUS,15204,0.25
Crosscut,'X4,BUS,15204,0.25
Crosscut,'X1,BUS,15204,0.25
Crosscut,'X2,BUS,15204,0.25
Currant Creek CC1a,'1,BUS,65391,0.5232558
Currant Creek CC1a,'1,BUS,65393,0.4767442
Currant Creek CC1b,'1,BUS,65392,0.5305343
Currant Creek CC1b,'1,BUS,65393,0.4694656
Delta EC CC1a,'1,BUS,33107,0.3444458
Delta EC CC1a,'1,BUS,33108,0.6555542
Delta EC CC1b,'1,BUS,33107,0.3611891
Delta EC CC1b,'1,BUS,33109,0.6388109
Delta EC CC1c,'1,BUS,33107,0.3611891
Delta EC CC1c,'1,BUS,33110,0.6388109
DeltaPump-Total,'10,BUS,38760,0.104108
DeltaPump-Total,'11,BUS,38760,0.104108
DeltaPump-Total,'8,BUS,38765,0.104108
DeltaPump-Total,'9,BUS,38765,0.104108
DeltaPump-Total,'6,BUS,38770,0.104108
DeltaPump-Total,'7,BUS,38770,0.104108
DeltaPump-Total,'4,BUS,38815,0.104108
DeltaPump-Total,'5,BUS,38815,0.104108
DeltaPump-Total,'2,BUS,38820,0.031516
DeltaPump-Total,'1,BUS,38820,0.031516
DeltaPump-Total,'3,BUS,38820,0.104108
Desert Basin CC1a,'1,BUS,15140,0.5595855
Desert Basin CC1a,'1,BUS,15142,0.4404145
Desert Basin CC1b,'1,BUS,15141,0.5595855
Desert Basin CC1b,'1,BUS,15142,0.4404145
Desert Star CC1a,'1,BUS,25099,0.6219465
Desert Star CC1a,'1,BUS,25101,0.3780535
Desert Star CC1b,'1,BUS,25101,0.3780535
Desert Star CC1b,'1,BUS,25102,0.6219465
DG-BTM_AESO,'Z0,AREA,AESO,1
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'2,BUS,25424,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'3,BUS,25424,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'4,BUS,25424,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'6,BUS,25425,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'7,BUS,25425,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'8,BUS,25425,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'11,BUS,25426,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'10,BUS,25426,0.111111
DIAMOND VALLEY LAKE PUMP-GEN PLANT,'12,BUS,25426,0.111111
DiamondValleyLake-Total,'4,BUS,25424,0.111111
DiamondValleyLake-Total,'2,BUS,25424,0.111111
DiamondValleyLake-Total,'3,BUS,25424,0.111111
DiamondValleyLake-Total,'8,BUS,25425,0.111111
DiamondValleyLake-Total,'7,BUS,25425,0.111111
DiamondValleyLake-Total,'6,BUS,25425,0.111111
DiamondValleyLake-Total,'11,BUS,25426,0.111111
DiamondValleyLake-Total,'12,BUS,25426,0.111111
DiamondValleyLake-Total,'10,BUS,25426,0.111111
Don Von Raesfeld CC1a,'1,BUS,36863,0.6727829
Don Von Raesfeld CC1a,'1,BUS,36865,0.3272171
Don Von Raesfeld CC1b,'1,BUS,36864,0.6727829
Don Von Raesfeld CC1b,'1,BUS,36865,0.3272171
DosAmigosPump-Total,'2,BUS,38750,0.166667
DosAmigosPump-Total,'1,BUS,38750,0.166667
DosAmigosPump-Total,'3,BUS,38750,0.166667
DosAmigosPump-Total,'2,BUS,38755,0.166667
DosAmigosPump-Total,'3,BUS,38755,0.166667
DosAmigosPump-Total,'1,BUS,38755,0.166667
DowCC-Total,'ST,BUS,58030,0.323843
DowCC-Total,'GT,BUS,59731,0.676157
DR_AZPS-1,'DR,AREA,AZPS,1
DR_BANC-1,'DR,AREA,BANC,1
DR_BPAT-1,'DR,AREA,BPAT,1
DR_CIPB-1,'DR,AREA,CIPB,1
DR_CIPV-1,'DR,AREA,CIPV,1
DR_CISC-1,'DR,AREA,CISC,1
DR_CISD-1,'DR,AREA,CISD,1
DR_EPE-2,'DR,AREA,EPE,1
DR_IPFE-1,'DR,AREA,IPFE,1
DR_IPMV-1,'DR,AREA,IPMV,1
DR_IPTV-1,'DR,AREA,IPTV,1
DR_LDWP,'DR,AREA,LDWP,1
DR_NEVP-1,'DR,AREA,NEVP,1
DR_PACW,'DR,AREA,PACW,1
DR_PAID-1,'DR,AREA,PAID,1
DR_PAUT-1,'DR,AREA,PAUT,1
DR_PAWY,'DR,AREA,PAWY,1
DR_PGE-1,'DR,AREA,PGE,1
DR_PNM,'DR,AREA,PNM,1
DR_PSCO-01,'DR,AREA,PSCO,1
DR_PSEI-01,'DR,AREA,PSEI,1
DR_SPPC-1,'DR,AREA,SPPC,1
DR_SRP-1,'DR,AREA,SRP,1
DR_TEPC,'DR,AREA,TEPC,1
DR_WACM,'DR,AREA,WALC,1
DSRTSL_PV1_1_24969_1,'1,BUS,24969,0.7557
DSRTSL_PV1_1_24969_1,'2,BUS,24970,0.2443
Duran Mesa,'1,BUS,10859,0.0875
Duran Mesa,'1,BUS,10920,0.912464
EagleMountainPump-Total,'2,BUS,25411,0.111111
EagleMountainPump-Total,'1,BUS,25411,0.111111
EagleMountainPump-Total,'3,BUS,25411,0.111111
EagleMountainPump-Total,'4,BUS,25411,0.111111
EagleMountainPump-Total,'9,BUS,25412,0.111111
EagleMountainPump-Total,'7,BUS,25412,0.111111
EagleMountainPump-Total,'8,BUS,25412,0.111111
EagleMountainPump-Total,'6,BUS,25412,0.111111
EagleMountainPump-Total,'5,BUS,25412,0.111111
EdmonstonPump-Total,'1,BUS,25605,0.071429
EdmonstonPump-Total,'2,BUS,25606,0.071429
EdmonstonPump-Total,'5,BUS,25607,0.071429
EdmonstonPump-Total,'3,BUS,25607,0.071429
EdmonstonPump-Total,'4,BUS,25608,0.071429
EdmonstonPump-Total,'6,BUS,25608,0.071429
EdmonstonPump-Total,'7,BUS,25609,0.071429
EdmonstonPump-Total,'9,BUS,25609,0.071429
EdmonstonPump-Total,'8,BUS,25610,0.071429
EdmonstonPump-Total,'10,BUS,25610,0.071429
EdmonstonPump-Total,'13,BUS,25611,0.071429
EdmonstonPump-Total,'11,BUS,25611,0.071429
EdmonstonPump-Total,'12,BUS,25612,0.071429
EdmonstonPump-Total,'14,BUS,25612,0.071429
Ejido San Luis CC1a,'1,BUS,20418,0.7035033
Ejido San Luis CC1a,'3,BUS,20432,0.2964967
Ejido San Luis CC1b,'2,BUS,20422,0.7035033
Ejido San Luis CC1b,'3,BUS,20432,0.2964967
