"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"9793","ArlingtonValleyPV2","Solar","4153","PV_Arlington Valley Solar1PV150_[18]","150","4153","PV_Arlington Valley Solar1PV150_[18]","150","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"4091","ArlingtonWind","Wind","5281","WT_Rattlesnake Road (Arlington)49WT102.9 A-1_[18]","102.9","5281","WT_Rattlesnake Road (Arlington)49WT102.9 A-1_[18]","102.9","0","0","0","0","102.9",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17628","Arriba Wind Project","Wind","6066","WT_Arriba Wind Project1WT100 B-1_[18]","100","6066","WT_Arriba Wind Project1WT100 B-1_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17669","Arroyo Solar-1","Solar","4572","PV_Arroyo Solar-11PV-T300_[18]","300","4572","PV_Arroyo Solar-11PV-T300_[18]","300","0","0","0","0","300",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17517","Aspiration Solar G","Solar","4670","PV_Aspiration Solar G1PV-NT9_[18]","9","4670","PV_Aspiration Solar G1PV-NT9_[18]","9","0","0","0","0","9",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14977","ASTORIA1G_29694_EQ","Solar","4394","PV_Astoria 11PV-NT100_[18]","100","4394","PV_Astoria 11PV-NT100_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14978","ASTORIA2G_29697_EQ","Solar","4391","PV_Astoria 21PV-NT75_[18]","75","4391","PV_Astoria 21PV-NT75_[18]","75","0","0","0","0","75",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17786","Athos Power Plant 2PV-NT200","Solar","4209","PV_Athos Power Plant 2PV-NT200_[18]","200","4209","PV_Athos Power Plant 2PV-NT200_[18]","200","0","0","0","0","200",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"19222","Athos Power Plant1PV-NT250","Solar","4208","PV_Athos Power Plant1PV-NT250_[18]","250","4208","PV_Athos Power Plant1PV-NT250_[18]","250","0","0","0","0","250",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18361","Atrisco Solar-1","Solar","4499","PV_Atrisco Solar-11PV-T300_[18]","300","4499","PV_Atrisco Solar-11PV-T300_[18]","300","0","0","0","0","300",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17542","Atwell West","Solar","4543","PV_Atwell West1PV-NT20_[18]","20","4543","PV_Atwell West1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1643","AtwellIsland","Solar","4556","PV_Atwell Island PV Solar Generating Faci.1PV-NT20_[18]","20","4556","PV_Atwell Island PV Solar Generating Faci.1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
