generatorkey,ads_name,bus id,bus name,bus kv,unit id,generator typeid,subtype,long id,ads_long_name,servicestatus,commission_date,retirement_date,devstatus,balancing_area,region name,mincap(mw),maxcap(mw),initialdispatch(mw),save to binary,state,county,city,zipcode,fueltype,technology,btm,internalid,economicpmin,economicpmax,tech_type,GeneratorKey,GeneratorName_x,Type,DispatchShapeName,DispatchMultiplier,capacity_hourly_rsc,GeneratorName_y, Turbine Type,Model Type,MustRun,MinimumDownTime(hr),MinimumUpTime(hr),MaxUpTime(hr),Generic Ramp Rate Name,RampUp Rate(MW/minute),RampDn Rate(MW/minute),Startup Cost Fixed($),StartFuel(MMBTu),Startup Time,VOM Cost,IOMaxCap(MW),IOMinCap(MW),MinInput(MMBTu),IncCap2(MW),IncHR2(MMBTu/MWh),IncCap3(MW),IncHR3(MMBTu/MWh),IncCap4(MW),IncHR4(MMBTu/MWh),IncCap5(MW),IncHR5(MMBTu/MWh),IncCap6(MW),IncHR6(MMBTu/MWh),IncCap7(MW),IncHR7(MMBTu/MWh)
19078,DG-BTM_WACM_WY_Laramie,72147,CHLKBLFF,12.5,'B6,4,DG-BTM,G0--,DG-BTM_WACM_WY_Laramie,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,WACM,RM_WACM,0.0,0.4840887,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4840887,,19078.0,DG-BTM_WACM_WY_Laramie,Solar,DPV-ALL_Laramie_WY_F[18],0.4840887,0.4840887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18881,DG-BTM_PAID_MT_Gallatin,66665,MADISN,115.0,'V3,4,DG-BTM,G0--,DG-BTM_PAID_MT_Gallatin,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PAID,BS_PACE,0.0,0.4831944,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4831944,,18881.0,DG-BTM_PAID_MT_Gallatin,Solar,DPV-ALL_Gallatin_MT_F[18],0.4831944,0.4831944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18815,DG-BTM_NWMT_MT_Fergus,624148,STRAW XPPL,100.0,'C9,4,DG-BTM,G0--,DG-BTM_NWMT_MT_Fergus,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,NWMT,NW_NWMT,0.0,0.4740008,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4740008,,18815.0,DG-BTM_NWMT_MT_Fergus,Solar,DPV-ALL_Fergus_MT_F[18],0.4740008,0.4740008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18872,DG-BTM_PAID_ID_Caribou,67098,CONDA,46.0,'W2,4,DG-BTM,G0--,DG-BTM_PAID_ID_Caribou,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PAID,BS_PACE,0.0,0.4727251,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4727251,,18872.0,DG-BTM_PAID_ID_Caribou,Solar,DPV-ALL_Caribou_ID_F[18],0.4727251,0.4727251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18595,DG-BTM_AVA_WA_Adams,48289,NOXON_CON,230.0,'Y9,4,DG-BTM,G0--,DG-BTM_AVA_WA_Adams,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,AVA,NW_AVA,0.0,0.4629842,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4629842,,18595.0,DG-BTM_AVA_WA_Adams,Solar,DPV-ALL_Adams_WA_F[18],0.4629842,0.4629842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19187,Qualco Dairy DigesterIC1IC0.45,45823,WOODS CK,115.0,'X0,1,ICE-NatGas,nan,nan,#TRUE#,#2014-10-16#,#2050-12-31#,Existing,BPAT,NW_BPAT,0.45,0.45,0.0,YES,WA,Snohomish,,EC,OBG,ICE,#FALSE#,,.45,.45,OBG_ICE,,,,,,,Qualco Dairy DigesterIC1IC0.45,IC,,True,8.0,6.0,-1.0,,1.8,1.8,84.49943,1.5,1.0,2.027986,0.45,0.45,76.491,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18586,DG-BTM_AVA_ID_Bonner,48347,PRIEST_AVA,115.0,'Z8,4,DG-BTM,G0--,DG-BTM_AVA_ID_Bonner,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,AVA,NW_AVA,0.0,0.4349936,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4349936,,18586.0,DG-BTM_AVA_ID_Bonner,Solar,DPV-ALL_Bonner_ID_F[18],0.4349936,0.4349936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19089,DG-BTM_WALC_AZ_Greenlee,17009,GREEN-AE,230.0,'Z5,4,DG-BTM,G0--,DG-BTM_WALC_AZ_Greenlee,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,WALC,SW_WALC,0.0,0.4327433,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4327433,,19089.0,DG-BTM_WALC_AZ_Greenlee,Solar,DPV-ALL_Greenlee_AZ_F[18],0.4327433,0.4327433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16753,Southwest Junior High,85876,SANLUS 3,12.5,'X1,4,SolarPV-NonTracking,AZ,Southwest Junior High (AZPS),#TRUE#,#2013-01-09#,#2050-12-31#,Existing,AZPS,SW_AZPS,0.0,0.43,0.0,YES,AZ,Yuma,,,Solar,,#FALSE#,,0,.43,,16753.0,Southwest Junior High,Solar,PV_Southwest Junior High1PV0.43_[18],0.43,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18153,AVA HY Agg Stevens Co 1,48399,SPIRIT,115.0,'X0,2,Hydro,Agg,ADS2032,#TRUE#,#1900-01-01#,#2050-12-31#,Existing,AVA,NW_AVA,0.0,0.42,0.0,YES,WA,Stevens,,,Water,,#FALSE#,,0,.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
